level,name,race_eth,age_grp,tenure,count,count_se,share,share_se
region,Backus Hospital HSA,asian,total,rented,493.8077155671038,120.98210224633377,0.4086149710929355,0.07284210356570214
region,Backus Hospital HSA,asian,total,other,6.358261157242168,5.328347835242063,0.0052613205850462015,0.004451018383258435
region,Backus Hospital HSA,asian,under35,owned,35.2776702024079,22.121073702103935,0.1488286944038391,0.09786152055785971
region,Backus Hospital HSA,asian,under35,rented,200.60068171100448,91.02530298283901,0.8462899444400133,0.0986865384970337
region,Backus Hospital HSA,asian,under35,other,1.1570554300379476,1.1570554300378644,0.004881361156147623,0.0052265735684353665
region,Backus Hospital HSA,asian,ages35_64,owned,583.4854891769708,114.0217594348876,0.7172223337728904,0.07056536679197849
region,Backus Hospital HSA,asian,ages35_64,rented,230.04953574004807,66.2223729544648,0.28277766622710965,0.07056536679197849
region,Backus Hospital HSA,asian,ages65plus,owned,89.56235466642647,47.242691028811194,0.5671337028236517,0.20609062025551242
region,Backus Hospital HSA,asian,ages65plus,rented,63.15749811605124,44.3395688693518,0.3999308180433653,0.20705980946485053
region,Backus Hospital HSA,asian,ages65plus,other,5.20120572720422,5.201205727204129,0.032935479132983024,0.03459859327808487
region,Backus Hospital HSA,other_race,total,owned,946.1503557976636,138.52052538999533,0.6303008603424064,0.05992370676369078
region,Backus Hospital HSA,other_race,total,rented,492.359029745852,100.25486083869558,0.3279968327914773,0.055748732926030664
region,Backus Hospital HSA,other_race,total,other,62.59971223508203,60.937221750321626,0.04170230686611629,0.039190940625793216
region,Backus Hospital HSA,other_race,under35,owned,169.85101241139108,59.04490567641829,0.5749753562395844,0.12671866374684085
region,Backus Hospital HSA,other_race,under35,rented,125.55471336134362,48.3064233212292,0.4250246437604157,0.12671866374684085
region,Backus Hospital HSA,other_race,ages35_64,owned,563.6573995402684,105.5736221981797,0.6525715610668479,0.07193159347684784
region,Backus Hospital HSA,other_race,ages35_64,rented,299.4478207148259,76.84200453861139,0.34668423049412855,0.07193023779120807
region,Backus Hospital HSA,other_race,ages35_64,other,0.6428085722433042,0.6428085722433109,7.442084390235998e-4,7.521181609808713e-4
region,Backus Hospital HSA,other_race,ages65plus,owned,212.64194384600404,67.50556333872372,0.6218412669603752,0.15442574265686262
region,Backus Hospital HSA,other_race,ages65plus,rented,67.35649566968247,42.58094629494579,0.19697453779664306,0.11288467407613265
region,Backus Hospital HSA,other_race,ages65plus,other,61.95690366283873,60.933832758552576,0.1811841952429817,0.1519118110909337
region,Capitol Region COG,total,total,owned,249692.3298774023,2770.5053372384727,0.6495956943131539,0.0048629415627059885
region,Capitol Region COG,total,total,rented,129166.68558882555,2377.571503502633,0.33603804669690684,0.00481628856346143
region,Capitol Region COG,total,total,other,5522.1189275476445,560.1978113436452,0.014366258989939302,0.0014431779617410255
region,Capitol Region COG,total,under35,owned,23476.83898405384,851.9715985241467,0.34813844564181895,0.0112179995391795
region,Capitol Region COG,total,under35,rented,42480.77501500349,1425.79424627186,0.6299481371162612,0.011688116670407589
region,Capitol Region COG,total,under35,other,1477.7390277322074,368.03245079478717,0.021913417241919933,0.005365334504531183
region,Capitol Region COG,total,ages35_64,owned,149578.90381802781,2205.145700965341,0.6990575416698761,0.006373973214948156
region,Capitol Region COG,total,ages35_64,rented,62081.95496824103,1664.9314802245804,0.29014023845873327,0.006312871298753477
region,Capitol Region COG,total,ages35_64,other,2311.375116995692,338.80912561369803,0.010802219871390649,0.0015726524262484184
region,Capitol Region COG,total,ages65plus,owned,76636.58707532067,1471.1197575279184,0.7442356698677441,0.00789776485923101
region,Capitol Region COG,total,ages65plus,rented,24603.955605581028,933.7458135586587,0.23893471878541658,0.007731094179725794
